OutageID,CircuitID,PoleID,StartDateKey,StartTime,EndDateKey,EndTime,CauseCode,WeatherEventType,CustomersAffected,MinutesOut,IsPlanned,IsWildfirePrevention
OUT_0000066,CKT_0146,P_0010730,20200816,20:24,20200816,13:19,TREES,Storm,47,20,False,False
OUT_0000067,CKT_0093,P_0002390,20211203,06:50,20211203,14:57,TREES,Wind,149,57,False,False
OUT_0000068,CKT_0094,P_0000123,20220211,18:34,20220211,01:56,OTHER,None,495,144,False,False
OUT_0000069,CKT_0089,P_0012242,20240212,07:35,20240212,05:11,TREES,Storm,68,72,False,False
OUT_0000070,CKT_0104,P_0009928,20200212,12:22,20200212,08:58,TREES,Wind,38,305,False,False
OUT_0000071,CKT_0121,P_0002632,20220307,21:32,20220307,19:40,WEATHER,Wind,135,164,False,False
OUT_0000072,CKT_0090,P_0009123,20220705,15:32,20220705,20:42,TREES,Snow,3,6,False,False
OUT_0000073,CKT_0138,P_0008008,20201202,19:07,20201202,11:18,TREES,Storm,172,45,False,False
OUT_0000074,CKT_0045,,20220126,01:57,20220126,20:57,EQUIP_FAIL,HeatWave,53,10,False,False
OUT_0000075,CKT_0105,P_0012314,20231215,19:13,20231215,00:18,EQUIP_FAIL,Storm,472,62,False,False
OUT_0000076,CKT_0129,P_0002683,20191117,19:56,20191117,02:02,TREES,Wind,340,127,False,False
OUT_0000077,CKT_0101,,20190421,17:05,20190421,19:34,EQUIP_FAIL,Storm,319,309,False,False
OUT_0000078,CKT_0033,,20221108,02:25,20221108,15:37,TREES,Wind,419,45,False,False
OUT_0000079,CKT_0111,,20200501,09:01,20200501,22:15,TREES,Storm,101,25,False,False
OUT_0000080,CKT_0079,,20210703,18:36,20210703,00:41,EQUIP_FAIL,None,675,48,False,False
OUT_0000081,CKT_0077,,20201210,03:03,20201210,12:28,TREES,Snow,1351,71,False,False
OUT_0000082,CKT_0138,P_0002107,20210302,19:24,20210302,11:06,ANIMALS,Snow,238,274,False,False
OUT_0000083,CKT_0003,P_0011822,20200309,19:10,20200309,00:34,WEATHER,Storm,108,154,False,False
OUT_0000084,CKT_0094,P_0000360,20231006,09:37,20231006,08:22,TREES,Storm,573,415,False,False
OUT_0000085,CKT_0144,P_0012641,20200910,19:12,20200910,02:33,WEATHER,Wind,249,37,False,False
OUT_0000086,CKT_0129,P_0005995,20220413,12:46,20220413,22:21,WEATHER,Storm,126,87,False,False
OUT_0000087,CKT_0065,P_0011677,20200502,08:58,20200502,14:32,ANIMALS,Wind,322,191,False,False
OUT_0000088,CKT_0113,P_0002258,20220511,16:35,20220511,16:46,TREES,Storm,267,21,False,False
OUT_0000089,CKT_0117,P_0007592,20240907,22:40,20240907,21:15,EQUIP_FAIL,HeatWave,137,48,False,False
OUT_0000090,CKT_0050,P_0001826,20200526,01:40,20200526,06:01,TREES,Storm,430,5,False,False
OUT_0000091,CKT_0140,P_0004902,20210301,14:47,20210301,13:08,WEATHER,Wind,222,144,False,False
OUT_0000092,CKT_0093,P_0002868,20210624,10:58,20210624,16:34,WEATHER,Storm,74,139,False,False
OUT_0000093,CKT_0046,P_0009655,20210621,20:07,20210621,05:47,ANIMALS,HeatWave,855,12,False,False
OUT_0000094,CKT_0074,P_0008410,20200126,17:01,20200126,14:32,EQUIP_FAIL,Storm,150,7,False,False
OUT_0000095,CKT_0062,,20210105,12:29,20210105,13:50,TREES,Storm,161,6,False,False
OUT_0000096,CKT_0126,P_0008963,20221129,21:08,20221129,11:38,OTHER,None,163,73,False,False
OUT_0000097,CKT_0063,P_0003496,20190830,10:16,20190830,09:55,EQUIP_FAIL,Snow,316,75,True,False
OUT_0000098,CKT_0102,P_0014930,20190606,18:42,20190606,11:05,TREES,Storm,103,76,False,False
OUT_0000099,CKT_0083,P_0005081,20190126,19:01,20190126,02:53,TREES,Snow,60,287,False,False
OUT_0000100,CKT_0011,P_0009794,20210305,18:01,20210305,10:19,TREES,Snow,667,33,False,False
OUT_0000101,CKT_0091,,20240125,13:10,20240125,20:47,TREES,Snow,48,29,False,False
OUT_0000102,CKT_0037,,20241130,13:22,20241130,07:35,TREES,Wind,623,164,False,False
OUT_0000103,CKT_0094,,20230730,18:56,20230730,21:03,ANIMALS,Wind,142,24,False,False
OUT_0000104,CKT_0073,P_0001040,20190620,22:09,20190620,08:41,EQUIP_FAIL,Snow,461,46,False,False
OUT_0000105,CKT_0049,P_0005441,20240101,03:53,20240101,10:30,TREES,Wind,140,16,False,False
OUT_0000106,CKT_0115,P_0003633,20201201,11:50,20201201,17:04,EQUIP_FAIL,Snow,33,18,False,False
OUT_0000107,CKT_0124,P_0004166,20210813,01:50,20210813,15:28,TREES,Storm,46,75,False,False
OUT_0000108,CKT_0137,P_0011883,20201105,19:26,20201105,23:32,EQUIP_FAIL,Storm,307,146,True,False
OUT_0000109,CKT_0078,P_0008553,20220521,04:29,20220521,03:48,TREES,Wind,677,21,False,False
OUT_0000110,CKT_0117,,20190711,19:41,20190711,07:22,EQUIP_FAIL,Wind,684,35,False,False
OUT_0000111,CKT_0083,P_0013475,20191218,20:28,20191218,05:54,EQUIP_FAIL,None,89,71,False,False
OUT_0000112,CKT_0048,P_0011912,20190102,06:08,20190102,13:06,TREES,Wind,131,327,False,False
OUT_0000113,CKT_0141,P_0013617,20210611,04:52,20210611,14:58,WEATHER,Storm,662,276,False,False
OUT_0000114,CKT_0015,,20190723,17:08,20190723,06:12,TREES,Snow,43,117,False,False
OUT_0000115,CKT_0097,P_0002386,20220228,20:58,20220228,01:03,WEATHER,Snow,375,84,False,False
OUT_0000116,CKT_0139,P_0002725,20190303,01:17,20190303,23:25,FIRE_PREVENT,Wind,235,9,False,True
OUT_0000117,CKT_0085,P_0008753,20240218,03:34,20240218,22:50,TREES,Storm,243,534,False,False
OUT_0000118,CKT_0006,P_0013026,20200712,10:25,20200712,09:44,TREES,Wind,28,21,False,False
OUT_0000119,CKT_0058,P_0005178,20220719,05:53,20220719,23:35,TREES,Storm,18,5,False,False
OUT_0000120,CKT_0017,,20240714,03:49,20240714,16:16,TREES,Snow,477,40,False,False
OUT_0000121,CKT_0121,P_0006214,20200807,09:36,20200807,04:07,OTHER,Wind,872,67,False,False
OUT_0000122,CKT_0045,P_0009154,20190413,13:16,20190413,11:33,WEATHER,Snow,224,32,False,False
OUT_0000123,CKT_0096,P_0007103,20190222,06:41,20190222,19:13,TREES,Storm,2,110,False,False
OUT_0000124,CKT_0006,,20200110,05:06,20200110,13:48,TREES,Wind,562,21,False,False
OUT_0000125,CKT_0051,,20231227,01:29,20231227,00:06,WEATHER,Snow,49,115,False,False
OUT_0000126,CKT_0057,P_0009316,20240929,22:52,20240929,10:21,FIRE_PREVENT,None,55,10,False,True
OUT_0000127,CKT_0131,P_0000538,20220301,11:06,20220301,05:06,OTHER,None,30,188,False,False
OUT_0000128,CKT_0079,P_0008606,20190726,06:18,20190726,00:54,TREES,Snow,174,35,False,False
OUT_0000129,CKT_0113,P_0010239,20240426,09:17,20240426,22:45,EQUIP_FAIL,None,27,170,False,False
OUT_0000130,CKT_0068,P_0011240,20201116,23:24,20201116,18:48,EQUIP_FAIL,Snow,354,126,False,False
OUT_0000131,CKT_0139,,20240311,13:28,20240311,03:06,TREES,Wind,830,60,False,False
OUT_0000132,CKT_0013,P_0004771,20231111,07:19,20231111,11:44,WEATHER,Wind,2284,172,False,False
OUT_0000133,CKT_0014,,20240531,20:28,20240531,10:24,WEATHER,Wind,197,59,False,False
OUT_0000134,CKT_0082,P_0010762,20190215,23:11,20190215,06:00,FIRE_PREVENT,HeatWave,152,31,False,True
OUT_0000135,CKT_0001,P_0003313,20191014,05:08,20191014,07:28,TREES,Storm,1077,27,False,False
OUT_0000136,CKT_0144,P_0005085,20230816,06:42,20230816,23:12,OTHER,Storm,391,107,False,False
OUT_0000137,CKT_0013,,20210323,02:51,20210323,19:39,FIRE_PREVENT,Storm,317,150,False,True
OUT_0000138,CKT_0101,P_0012169,20190630,02:04,20190630,02:20,ANIMALS,Wind,531,5,False,False
OUT_0000139,CKT_0012,P_0007803,20240204,00:53,20240204,19:59,OTHER,Wind,6,491,False,False
OUT_0000140,CKT_0073,P_0000328,20220106,13:51,20220106,15:27,TREES,Wind,5,180,False,False
OUT_0000141,CKT_0142,P_0008683,20190104,22:44,20190104,03:46,TREES,Snow,16,41,False,False
OUT_0000142,CKT_0036,,20230326,02:02,20230326,19:55,EQUIP_FAIL,Wind,73,31,True,False
OUT_0000143,CKT_0068,P_0011991,20241003,01:52,20241003,10:11,OTHER,Storm,2168,21,False,False
OUT_0000144,CKT_0022,P_0003339,20210606,10:52,20210606,12:57,TREES,Snow,406,195,False,False
OUT_0000145,CKT_0126,P_0007101,20190124,11:05,20190124,00:12,WEATHER,Snow,416,55,False,False
OUT_0000146,CKT_0095,P_0008150,20240415,15:43,20240415,20:11,ANIMALS,Wind,103,68,False,False
OUT_0000147,CKT_0034,P_0002679,20240616,07:52,20240616,18:57,WEATHER,Snow,199,96,False,False
OUT_0000148,CKT_0101,P_0001521,20201223,10:50,20201223,06:11,ANIMALS,Wind,74,82,False,False
OUT_0000149,CKT_0066,P_0007299,20230727,00:31,20230727,13:38,EQUIP_FAIL,HeatWave,240,35,False,False
OUT_0000150,CKT_0072,,20211204,14:30,20211204,12:20,WEATHER,Storm,337,25,False,False
OUT_0000151,CKT_0088,P_0014027,20240311,05:35,20240311,18:06,ANIMALS,HeatWave,50,86,False,False
OUT_0000152,CKT_0038,P_0012453,20231118,05:55,20231118,20:49,TREES,Wind,1009,50,False,False
OUT_0000153,CKT_0007,P_0006359,20190906,14:16,20190906,18:45,WEATHER,Storm,456,5,False,False
OUT_0000154,CKT_0065,P_0000590,20191206,02:25,20191206,01:46,FIRE_PREVENT,None,2,125,False,True
OUT_0000155,CKT_0021,P_0008142,20200927,17:43,20200927,03:35,WEATHER,Storm,115,90,False,False
OUT_0000156,CKT_0070,P_0004061,20240829,22:17,20240829,21:17,TREES,Snow,240,44,False,False
OUT_0000157,CKT_0026,P_0002183,20190414,14:50,20190414,21:50,WEATHER,Storm,34,211,False,False
OUT_0000158,CKT_0052,P_0003550,20191021,21:25,20191021,19:50,TREES,Storm,19,43,False,False
OUT_0000159,CKT_0136,,20210520,02:44,20210520,08:11,TREES,Storm,407,90,False,False
OUT_0000160,CKT_0137,P_0009428,20190218,18:05,20190218,08:08,EQUIP_FAIL,Wind,349,55,False,False
OUT_0000161,CKT_0118,P_0007838,20221014,07:12,20221014,18:05,TREES,Wind,65,29,False,False
OUT_0000162,CKT_0021,P_0013849,20230716,09:42,20230716,12:07,OTHER,Wind,200,5,False,False
OUT_0000163,CKT_0032,,20210315,19:22,20210315,10:16,TREES,Snow,19,33,False,False
OUT_0000164,CKT_0028,P_0005553,20190301,23:36,20190301,03:53,OTHER,Wind,327,264,False,False
OUT_0000165,CKT_0020,P_0006019,20240814,13:50,20240814,14:28,TREES,Wind,416,23,False,False
OUT_0000166,CKT_0054,P_0014051,20191119,19:43,20191119,14:35,WEATHER,Wind,233,323,False,False
OUT_0000167,CKT_0118,P_0003648,20220503,23:13,20220503,08:25,FIRE_PREVENT,HeatWave,59,11,False,True
OUT_0000168,CKT_0081,P_0000452,20210604,15:21,20210604,06:36,TREES,Snow,47,166,False,False
OUT_0000169,CKT_0028,P_0008862,20211117,06:35,20211117,05:33,ANIMALS,HeatWave,83,199,False,False
OUT_0000170,CKT_0074,,20201011,16:53,20201011,23:13,ANIMALS,None,89,34,False,False
OUT_0000171,CKT_0115,,20200913,14:15,20200913,19:32,WEATHER,Wind,385,21,False,False
OUT_0000172,CKT_0082,P_0010472,20231009,10:00,20231009,11:02,ANIMALS,Storm,51,22,False,False
OUT_0000173,CKT_0090,P_0005429,20230917,21:05,20230917,08:26,TREES,Wind,155,114,False,False
OUT_0000174,CKT_0130,P_0012809,20240129,20:26,20240129,05:04,OTHER,Storm,51,40,False,False
OUT_0000175,CKT_0043,P_0013449,20220210,21:29,20220210,22:11,OTHER,Snow,281,168,False,False
OUT_0000176,CKT_0075,P_0013856,20200429,09:17,20200429,11:26,WEATHER,Wind,246,197,False,False
OUT_0000177,CKT_0139,,20210820,08:37,20210820,19:28,OTHER,None,453,60,False,False
OUT_0000178,CKT_0102,P_0006384,20221003,09:16,20221003,12:47,WEATHER,Wind,17,182,False,False
OUT_0000179,CKT_0074,P_0011413,20230527,10:51,20230527,00:05,EQUIP_FAIL,Storm,35,156,False,False
OUT_0000180,CKT_0013,P_0003852,20210129,19:43,20210129,16:41,TREES,Wind,39,35,False,False
OUT_0000181,CKT_0143,,20190613,06:05,20190613,04:03,TREES,Wind,458,82,False,False
OUT_0000182,CKT_0045,,20191029,01:35,20191029,18:33,FIRE_PREVENT,Wind,775,212,False,True
OUT_0000183,CKT_0031,P_0013453,20220316,22:09,20220316,20:59,TREES,Snow,369,76,False,False
OUT_0000184,CKT_0132,P_0007710,20230214,22:59,20230214,09:56,WEATHER,Wind,75,183,False,False
OUT_0000185,CKT_0011,P_0012766,20220804,18:28,20220804,01:52,EQUIP_FAIL,Snow,271,59,False,False
OUT_0000186,CKT_0030,,20230815,16:12,20230815,22:35,WEATHER,Storm,137,74,False,False
OUT_0000187,CKT_0077,P_0001027,20240105,13:28,20240105,09:03,TREES,Snow,149,41,False,False
OUT_0000188,CKT_0012,P_0013627,20190426,19:42,20190426,15:31,TREES,Wind,198,103,False,False
OUT_0000189,CKT_0124,P_0006091,20190812,18:42,20190812,13:11,WEATHER,Storm,394,103,False,False
OUT_0000190,CKT_0074,P_0006168,20200626,18:01,20200626,23:07,WEATHER,Storm,30,79,False,False
OUT_0000191,CKT_0111,P_0013855,20190619,06:03,20190619,03:10,TREES,Storm,25,51,False,False
OUT_0000192,CKT_0117,P_0001028,20200907,13:46,20200907,08:24,TREES,Wind,664,52,False,False
OUT_0000193,CKT_0119,P_0014856,20231024,13:30,20231024,20:21,TREES,Wind,326,6,False,False
OUT_0000194,CKT_0125,,20231228,06:40,20231228,02:17,TREES,Wind,76,444,False,False
OUT_0000195,CKT_0114,P_0002127,20201228,19:46,20201228,08:58,TREES,Wind,76,65,False,False
OUT_0000196,CKT_0061,,20231112,11:23,20231112,10:14,OTHER,Snow,453,5,True,False
OUT_0000197,CKT_0071,P_0006273,20241220,11:20,20241220,00:09,EQUIP_FAIL,HeatWave,6,48,False,False
OUT_0000198,CKT_0099,P_0003069,20220626,00:22,20220626,16:52,OTHER,Storm,46,16,False,False
OUT_0000199,CKT_0079,P_0010848,20200319,17:32,20200319,09:50,EQUIP_FAIL,Snow,56,43,True,False
OUT_0000200,CKT_0041,P_0012275,20190320,04:50,20190320,23:52,TREES,Snow,639,31,False,False
OUT_0000201,CKT_0089,P_0003154,20220404,16:37,20220404,16:00,OTHER,Snow,397,38,False,False
OUT_0000202,CKT_0089,P_0008953,20241129,23:11,20241129,16:22,EQUIP_FAIL,Storm,402,78,False,False
OUT_0000203,CKT_0048,P_0008611,20211221,01:20,20211221,05:42,TREES,Wind,611,5,False,False
OUT_0000204,CKT_0081,P_0014133,20190115,03:27,20190115,07:41,OTHER,None,510,37,False,False
OUT_0000205,CKT_0010,P_0013706,20200430,08:45,20200430,04:57,EQUIP_FAIL,Wind,191,33,False,False
OUT_0000206,CKT_0002,P_0010416,20190315,01:11,20190315,20:39,FIRE_PREVENT,Storm,176,82,False,True
OUT_0000207,CKT_0062,P_0014371,20211213,18:39,20211213,07:38,WEATHER,Storm,30,7,False,False
OUT_0000208,CKT_0054,,20200428,02:03,20200428,08:32,EQUIP_FAIL,HeatWave,194,197,False,False
OUT_0000209,CKT_0039,P_0002345,20200723,19:01,20200723,23:22,TREES,Storm,20,106,False,False
OUT_0000210,CKT_0120,,20220821,17:48,20220821,14:33,TREES,Storm,306,293,False,False
OUT_0000211,CKT_0133,P_0000603,20211222,09:31,20211222,03:16,TREES,Wind,46,129,False,False
OUT_0000212,CKT_0144,P_0006185,20241028,18:48,20241028,11:54,EQUIP_FAIL,HeatWave,70,117,False,False
OUT_0000213,CKT_0095,,20200830,19:37,20200830,05:08,TREES,Storm,7,228,False,False
OUT_0000214,CKT_0004,P_0005473,20190522,18:02,20190522,20:04,OTHER,Wind,62,95,False,False
OUT_0000215,CKT_0127,P_0007925,20220627,15:54,20220627,12:44,EQUIP_FAIL,None,159,9,False,False
OUT_0000216,CKT_0056,P_0004541,20200822,22:59,20200822,18:19,TREES,Snow,76,72,False,False
OUT_0000217,CKT_0127,P_0004535,20210131,09:06,20210131,10:41,ANIMALS,None,181,11,False,False
OUT_0000218,CKT_0072,,20210731,09:08,20210731,14:56,ANIMALS,HeatWave,248,5,False,False
OUT_0000219,CKT_0027,,20190104,13:21,20190104,07:49,EQUIP_FAIL,Snow,31,18,False,False
OUT_0000220,CKT_0106,P_0001792,20220630,14:35,20220630,10:52,OTHER,Snow,295,159,False,False
OUT_0000221,CKT_0140,P_0004894,20190331,12:18,20190331,07:25,WEATHER,Wind,766,45,False,False
OUT_0000222,CKT_0091,P_0008274,20200401,12:51,20200401,16:23,OTHER,None,8,13,True,False
OUT_0000223,CKT_0107,P_0004390,20190409,15:07,20190409,13:33,EQUIP_FAIL,Wind,446,5,False,False
OUT_0000224,CKT_0073,P_0012859,20210720,20:15,20210720,08:46,EQUIP_FAIL,Wind,46,8,False,False
OUT_0000225,CKT_0076,,20230528,00:07,20230528,02:01,TREES,Wind,89,175,False,False
OUT_0000226,CKT_0006,P_0009606,20190606,22:07,20190606,08:36,OTHER,HeatWave,44,528,False,False
OUT_0000227,CKT_0080,P_0011223,20240421,01:05,20240421,02:47,TREES,Wind,97,84,False,False
OUT_0000228,CKT_0096,P_0008174,20220419,14:51,20220419,09:29,WEATHER,Snow,116,5,False,False
OUT_0000229,CKT_0099,P_0008833,20200105,21:30,20200105,18:27,ANIMALS,Storm,259,206,False,False
OUT_0000230,CKT_0117,P_0001028,20220724,04:12,20220724,16:03,ANIMALS,Storm,263,91,False,False
OUT_0000231,CKT_0088,P_0008716,20241020,10:51,20241020,22:34,TREES,Storm,14,9,False,False
OUT_0000232,CKT_0061,P_0000330,20210520,23:00,20210520,16:01,FIRE_PREVENT,Snow,153,40,False,True
OUT_0000233,CKT_0090,,20210130,14:33,20210130,20:50,TREES,Wind,173,72,False,False
OUT_0000234,CKT_0099,P_0014956,20201226,13:44,20201226,09:10,TREES,Wind,20,58,False,False
OUT_0000235,CKT_0114,P_0002303,20210221,21:29,20210221,01:11,TREES,Storm,3,170,False,False
OUT_0000236,CKT_0105,P_0004918,20221011,21:18,20221011,12:25,FIRE_PREVENT,Storm,603,5,False,True
OUT_0000237,CKT_0086,P_0007283,20200916,15:49,20200916,22:11,ANIMALS,None,610,510,False,False
OUT_0000238,CKT_0081,P_0012367,20211021,22:07,20211021,23:59,TREES,Wind,307,460,False,False
OUT_0000239,CKT_0144,P_0012150,20200104,13:44,20200104,07:13,EQUIP_FAIL,None,1373,17,False,False
OUT_0000240,CKT_0011,,20221224,08:22,20221224,07:37,TREES,Snow,719,15,False,False
OUT_0000241,CKT_0009,P_0005455,20220403,18:57,20220403,20:01,EQUIP_FAIL,None,48,95,False,False
OUT_0000242,CKT_0125,P_0014795,20200908,19:32,20200908,01:08,OTHER,Storm,458,23,False,False
OUT_0000243,CKT_0039,P_0013447,20210801,14:33,20210801,06:26,TREES,Wind,6,157,False,False
OUT_0000244,CKT_0143,P_0010489,20190425,22:58,20190425,08:39,WEATHER,Snow,316,33,False,False
OUT_0000245,CKT_0071,,20240903,09:51,20240903,14:38,TREES,Snow,149,125,False,False
OUT_0000246,CKT_0140,P_0004711,20220713,02:22,20220713,07:57,TREES,Storm,287,201,False,False
OUT_0000247,CKT_0087,P_0011446,20201021,20:01,20201021,13:01,ANIMALS,Snow,102,24,False,False
OUT_0000248,CKT_0100,,20241110,07:43,20241110,16:09,WEATHER,Wind,324,6,False,False
OUT_0000249,CKT_0105,P_0011098,20240620,21:40,20240620,05:38,WEATHER,Wind,984,19,False,False
OUT_0000250,CKT_0138,P_0006742,20240602,15:46,20240602,17:08,TREES,Snow,191,15,False,False
OUT_0000251,CKT_0035,P_0000629,20200302,19:09,20200302,04:11,EQUIP_FAIL,Storm,25,39,False,False
OUT_0000252,CKT_0135,,20230205,17:06,20230205,12:39,TREES,Snow,176,24,False,False
OUT_0000253,CKT_0102,P_0014496,20210509,17:52,20210509,06:49,WEATHER,Storm,14,74,False,False
OUT_0000254,CKT_0048,,20230819,07:10,20230819,15:09,TREES,Wind,360,94,False,False
