WorkOrderID,PoleID,CircuitID,WorkDateKey,WorkType,SpanFeetTreated,CostUSD,ContractorName
WO_00000038,P_0000457,CKT_0139,20190821,Patrol,102.4,1760.45,SafeSpan
WO_00000039,P_0014515,CKT_0005,20210920,Mow,76.4,1426.25,TreeCo
WO_00000040,P_0006539,CKT_0028,20200822,Remove,89.9,1062.86,GreenLine
WO_00000041,P_0012751,CKT_0034,20200930,Trim,64.8,654.25,TreeCo
WO_00000042,P_0011315,CKT_0013,20230626,Patrol,120.6,1747.75,GreenLine
WO_00000043,P_0009749,CKT_0039,20190710,Trim,52.0,865.84,TreeCo
WO_00000044,P_0009047,CKT_0070,20201026,Trim,109.8,1457.8,ClearPath
WO_00000045,P_0004469,CKT_0139,20230613,Trim,81.4,758.25,TreeCo
WO_00000046,P_0006946,CKT_0001,20221113,Mow,10.0,94.92,ClearPath
WO_00000047,P_0000525,CKT_0063,20210719,Patrol,105.0,1926.68,GreenLine
WO_00000048,P_0003945,CKT_0114,20241229,Mow,92.6,913.57,TreeCo
WO_00000049,P_0001468,CKT_0024,20220115,Mow,101.1,1161.58,SafeSpan
WO_00000050,P_0013381,CKT_0145,20240206,Patrol,91.8,770.09,ClearPath
WO_00000051,P_0006496,CKT_0019,20220308,Mow,97.2,1033.9,GreenLine
WO_00000052,P_0014827,CKT_0004,20241001,Remove,90.8,1260.8,SafeSpan
WO_00000053,P_0008684,CKT_0121,20210121,Trim,76.7,1189.79,SafeSpan
WO_00000054,P_0013332,CKT_0113,20210821,Mow,101.4,1650.26,TreeCo
WO_00000055,P_0005704,CKT_0014,20211016,Patrol,74.5,973.23,ClearPath
WO_00000056,P_0006866,CKT_0120,20220911,Mow,148.0,1441.34,SafeSpan
WO_00000057,P_0008105,CKT_0029,20210404,Remove,92.3,1727.59,TreeCo
WO_00000058,P_0000055,CKT_0037,20220420,Patrol,66.1,1236.94,GreenLine
WO_00000059,P_0000551,CKT_0113,20220724,Patrol,147.9,1291.36,SafeSpan
WO_00000060,P_0003893,CKT_0012,20250211,Remove,32.8,535.28,ClearPath
WO_00000061,P_0012051,CKT_0094,20200215,Trim,64.1,759.14,SafeSpan
WO_00000062,P_0000753,CKT_0048,20221218,Remove,32.4,574.95,GreenLine
WO_00000063,P_0003660,CKT_0041,20230206,Patrol,86.9,1011.17,GreenLine
WO_00000064,P_0006676,CKT_0031,20240923,Patrol,80.1,899.72,ClearPath
WO_00000065,P_0001279,CKT_0071,20240308,Remove,42.6,642.09,SafeSpan
WO_00000066,P_0005297,CKT_0093,20210711,Patrol,136.5,2018.95,SafeSpan
WO_00000067,P_0012383,CKT_0018,20241002,Trim,76.1,896.26,SafeSpan
WO_00000068,P_0014007,CKT_0039,20200403,Remove,118.8,1276.4,SafeSpan
WO_00000069,P_0008852,CKT_0075,20221130,Trim,71.5,895.19,SafeSpan
WO_00000070,P_0002837,CKT_0004,20231225,Patrol,78.7,1270.09,ClearPath
WO_00000071,P_0003427,CKT_0096,20240316,Remove,99.7,1281.25,TreeCo
WO_00000072,P_0011135,CKT_0067,20201114,Remove,88.2,796.4,SafeSpan
WO_00000073,P_0008268,CKT_0143,20230826,Patrol,51.6,743.64,ClearPath
WO_00000074,P_0010117,CKT_0112,20221125,Trim,82.8,1592.32,TreeCo
WO_00000075,P_0005529,CKT_0140,20190218,Trim,61.4,1082.76,TreeCo
WO_00000076,P_0003807,CKT_0051,20210403,Mow,10.0,135.89,GreenLine
WO_00000077,P_0001479,CKT_0087,20220827,Remove,55.0,507.73,GreenLine
WO_00000078,P_0011272,CKT_0041,20220122,Remove,35.7,465.37,ClearPath
WO_00000079,P_0006866,CKT_0120,20200507,Trim,46.6,524.78,SafeSpan
WO_00000080,P_0007899,CKT_0051,20240115,Mow,110.5,1395.6,SafeSpan
WO_00000081,P_0011071,CKT_0040,20190717,Patrol,106.7,1678.68,GreenLine
WO_00000082,P_0007356,CKT_0058,20240619,Mow,47.7,930.77,SafeSpan
WO_00000083,P_0011182,CKT_0079,20220814,Remove,65.8,764.15,ClearPath
WO_00000084,P_0005792,CKT_0047,20231027,Patrol,71.7,1007.33,GreenLine
WO_00000085,P_0001632,CKT_0105,20220606,Remove,60.2,710.99,ClearPath
WO_00000086,P_0010665,CKT_0076,20210220,Mow,56.8,520.48,ClearPath
WO_00000087,P_0012408,CKT_0135,20201015,Remove,102.1,1704.68,SafeSpan
WO_00000088,P_0004950,CKT_0035,20250113,Remove,120.5,1773.37,GreenLine
WO_00000089,P_0004571,CKT_0051,20221107,Trim,87.8,1660.58,TreeCo
WO_00000090,P_0014883,CKT_0005,20240109,Patrol,78.2,869.37,ClearPath
WO_00000091,P_0012894,CKT_0123,20241223,Mow,74.4,1434.37,ClearPath
WO_00000092,P_0014046,CKT_0105,20200803,Patrol,52.5,422.85,SafeSpan
WO_00000093,P_0005914,CKT_0047,20231001,Trim,68.7,1200.7,ClearPath
WO_00000094,P_0007474,CKT_0143,20190407,Remove,156.1,3016.6,SafeSpan
WO_00000095,P_0012308,CKT_0081,20220724,Remove,85.9,1029.02,ClearPath
WO_00000096,P_0014961,CKT_0146,20190828,Mow,43.1,474.11,ClearPath
WO_00000097,P_0012483,CKT_0143,20240808,Trim,100.8,1594.39,GreenLine
WO_00000098,P_0000422,CKT_0140,20210309,Trim,106.2,1868.61,GreenLine
WO_00000099,P_0000199,CKT_0079,20221028,Remove,118.3,1435.3,SafeSpan
WO_00000100,P_0011812,CKT_0028,20240908,Remove,70.3,825.93,ClearPath
WO_00000101,P_0013873,CKT_0030,20210221,Trim,115.6,1024.7,ClearPath
WO_00000102,P_0011481,CKT_0061,20240429,Mow,77.3,1057.32,ClearPath
WO_00000103,P_0009947,CKT_0075,20240719,Mow,74.4,1097.35,GreenLine
WO_00000104,P_0000592,CKT_0119,20230122,Patrol,30.6,594.79,SafeSpan
WO_00000105,P_0007209,CKT_0075,20191206,Remove,87.9,720.86,TreeCo
WO_00000106,P_0013511,CKT_0136,20230917,Patrol,59.8,610.33,SafeSpan
WO_00000107,P_0003452,CKT_0033,20231104,Trim,56.9,802.61,GreenLine
WO_00000108,P_0011954,CKT_0093,20201123,Remove,20.3,186.77,ClearPath
WO_00000109,P_0007193,CKT_0090,20240229,Mow,67.4,553.83,SafeSpan
WO_00000110,P_0008312,CKT_0144,20240629,Trim,112.1,1997.18,TreeCo
WO_00000111,P_0008755,CKT_0042,20240725,Trim,46.7,742.0,TreeCo
WO_00000112,P_0007952,CKT_0032,20250310,Mow,119.8,1456.26,GreenLine
WO_00000113,P_0004106,CKT_0017,20221218,Mow,127.2,2346.45,GreenLine
WO_00000114,P_0008930,CKT_0086,20210706,Patrol,144.6,2250.04,ClearPath
WO_00000115,P_0006654,CKT_0083,20200113,Trim,36.3,409.42,SafeSpan
WO_00000116,P_0014692,CKT_0070,20230222,Patrol,97.3,1809.42,ClearPath
WO_00000117,P_0004890,CKT_0034,20201227,Patrol,84.5,1086.41,TreeCo
WO_00000118,P_0002991,CKT_0056,20210716,Remove,73.9,1196.03,TreeCo
WO_00000119,P_0012046,CKT_0043,20190405,Trim,72.3,1356.34,GreenLine
WO_00000120,P_0007015,CKT_0082,20220704,Mow,95.6,1118.81,GreenLine
WO_00000121,P_0010331,CKT_0006,20240114,Patrol,150.0,1201.57,SafeSpan
WO_00000122,P_0014962,CKT_0147,20241020,Mow,52.4,818.6,GreenLine
WO_00000123,P_0003021,CKT_0126,20221208,Remove,94.0,947.08,TreeCo
WO_00000124,P_0003906,CKT_0005,20230915,Trim,69.4,1056.95,TreeCo
WO_00000125,P_0001910,CKT_0058,20210918,Mow,84.2,1035.58,ClearPath
WO_00000126,P_0011675,CKT_0019,20221002,Patrol,86.0,1545.29,ClearPath
WO_00000127,P_0008686,CKT_0056,20230129,Patrol,80.4,1338.14,GreenLine
WO_00000128,P_0013731,CKT_0109,20220531,Trim,114.1,2142.23,GreenLine
WO_00000129,P_0011121,CKT_0114,20230720,Mow,101.1,1487.47,SafeSpan
WO_00000130,P_0002822,CKT_0036,20231016,Remove,76.4,1325.28,ClearPath
WO_00000131,P_0008156,CKT_0058,20240827,Mow,101.8,1832.88,SafeSpan
WO_00000132,P_0009701,CKT_0048,20231105,Patrol,46.3,612.36,ClearPath
WO_00000133,P_0014120,CKT_0129,20200407,Mow,90.6,1579.44,SafeSpan
WO_00000134,P_0011064,CKT_0138,20190310,Remove,157.4,2606.47,SafeSpan
WO_00000135,P_0006518,CKT_0038,20210512,Remove,64.4,900.77,TreeCo
WO_00000136,P_0014255,CKT_0099,20200330,Patrol,113.8,1642.79,GreenLine
WO_00000137,P_0008422,CKT_0067,20210107,Remove,149.0,2422.2,GreenLine
WO_00000138,P_0012873,CKT_0102,20190630,Patrol,70.0,1070.17,SafeSpan
WO_00000139,P_0001273,CKT_0074,20230627,Trim,66.2,625.83,ClearPath
WO_00000140,P_0001329,CKT_0005,20200614,Trim,27.7,499.44,ClearPath
WO_00000141,P_0002492,CKT_0063,20230508,Trim,72.4,1072.04,GreenLine
WO_00000142,P_0002096,CKT_0145,20250121,Mow,102.5,1052.48,ClearPath
WO_00000143,P_0010984,CKT_0125,20191024,Mow,83.1,732.6,TreeCo
WO_00000144,P_0011081,CKT_0040,20210616,Patrol,73.7,687.65,ClearPath
WO_00000145,P_0013760,CKT_0032,20241224,Trim,86.1,1076.12,ClearPath
WO_00000146,P_0009442,CKT_0147,20210819,Remove,95.3,1868.06,GreenLine
WO_00000147,P_0013726,CKT_0019,20220614,Mow,135.0,2269.22,SafeSpan
WO_00000148,P_0011053,CKT_0003,20220326,Remove,40.8,340.86,ClearPath
WO_00000149,P_0000986,CKT_0150,20200314,Patrol,45.4,614.86,TreeCo
WO_00000150,P_0003147,CKT_0144,20220326,Mow,78.0,1290.38,TreeCo
WO_00000151,P_0010269,CKT_0056,20190326,Patrol,105.2,1549.82,SafeSpan
WO_00000152,P_0002089,CKT_0022,20190310,Mow,144.5,2524.31,TreeCo
WO_00000153,P_0010331,CKT_0006,20201130,Remove,89.4,1494.35,GreenLine
WO_00000154,P_0002495,CKT_0060,20191103,Patrol,90.9,1660.4,SafeSpan
WO_00000155,P_0010172,CKT_0112,20190626,Mow,87.2,1597.99,GreenLine
WO_00000156,P_0011471,CKT_0086,20220107,Remove,31.5,609.97,TreeCo
WO_00000157,P_0006414,CKT_0019,20201129,Remove,82.6,1452.52,GreenLine
WO_00000158,P_0005324,CKT_0110,20220218,Trim,120.3,1445.12,GreenLine
WO_00000159,P_0009074,CKT_0094,20220304,Mow,50.2,554.26,SafeSpan
WO_00000160,P_0009981,CKT_0004,20200403,Trim,106.8,1846.96,SafeSpan
WO_00000161,P_0011591,CKT_0038,20210209,Mow,60.1,546.78,SafeSpan
WO_00000162,P_0014460,CKT_0049,20241221,Mow,77.2,1297.63,ClearPath
WO_00000163,P_0003105,CKT_0026,20221201,Remove,26.6,280.63,ClearPath
WO_00000164,P_0002164,CKT_0133,20190805,Remove,52.3,610.84,GreenLine
WO_00000165,P_0003442,CKT_0058,20220518,Patrol,44.1,362.55,ClearPath
WO_00000166,P_0005125,CKT_0113,20220121,Remove,71.9,809.71,GreenLine
WO_00000167,P_0004719,CKT_0094,20230411,Mow,86.8,1286.26,TreeCo
WO_00000168,P_0008374,CKT_0131,20231207,Remove,81.4,772.15,SafeSpan
WO_00000169,P_0007048,CKT_0097,20190407,Remove,118.1,1973.44,SafeSpan
WO_00000170,P_0002635,CKT_0067,20200313,Mow,10.3,160.18,GreenLine
WO_00000171,P_0014611,CKT_0104,20241110,Mow,141.5,2688.76,ClearPath
WO_00000172,P_0014771,CKT_0001,20191030,Trim,52.7,468.24,ClearPath
WO_00000173,P_0010046,CKT_0083,20191007,Mow,59.0,618.1,SafeSpan
WO_00000174,P_0005568,CKT_0102,20231105,Trim,130.5,2598.35,SafeSpan
WO_00000175,P_0011731,CKT_0133,20200818,Patrol,109.0,1384.27,GreenLine
WO_00000176,P_0012164,CKT_0057,20210821,Mow,36.6,673.02,ClearPath
WO_00000177,P_0007077,CKT_0018,20200626,Mow,25.9,469.72,SafeSpan
WO_00000178,P_0000734,CKT_0041,20190327,Remove,88.1,1342.07,SafeSpan
WO_00000179,P_0006651,CKT_0047,20240429,Remove,108.7,1062.82,TreeCo
WO_00000180,P_0002074,CKT_0125,20210605,Patrol,73.1,981.67,SafeSpan
WO_00000181,P_0014729,CKT_0025,20210220,Remove,84.5,1658.2,TreeCo
WO_00000182,P_0004485,CKT_0094,20231018,Mow,124.3,1284.23,TreeCo
WO_00000183,P_0009413,CKT_0092,20191030,Trim,78.6,1140.93,SafeSpan
WO_00000184,P_0004798,CKT_0016,20240216,Remove,94.5,1626.14,GreenLine
WO_00000185,P_0012706,CKT_0076,20210112,Remove,58.6,977.24,GreenLine
WO_00000186,P_0006614,CKT_0097,20210402,Remove,70.7,1142.62,GreenLine
WO_00000187,P_0007726,CKT_0150,20190909,Trim,107.7,1191.75,TreeCo
WO_00000188,P_0008918,CKT_0020,20201117,Mow,139.9,1954.58,ClearPath
WO_00000189,P_0013804,CKT_0117,20240110,Mow,99.1,1712.86,GreenLine
WO_00000190,P_0007469,CKT_0004,20191026,Remove,99.4,1598.05,GreenLine
WO_00000191,P_0012843,CKT_0095,20190814,Mow,65.8,652.54,TreeCo
WO_00000192,P_0007892,CKT_0078,20231004,Remove,83.1,990.12,TreeCo
WO_00000193,P_0009659,CKT_0041,20230202,Mow,87.7,1612.88,ClearPath
WO_00000194,P_0008071,CKT_0098,20220725,Trim,47.5,494.63,GreenLine
WO_00000195,P_0006344,CKT_0122,20210127,Remove,74.3,594.57,ClearPath
WO_00000196,P_0000235,CKT_0061,20210805,Remove,34.9,337.82,TreeCo
WO_00000197,P_0013258,CKT_0085,20210413,Mow,110.5,2144.29,ClearPath
WO_00000198,P_0006317,CKT_0136,20190613,Trim,72.0,756.24,GreenLine
WO_00000199,P_0006152,CKT_0013,20200402,Trim,54.8,554.9,TreeCo
WO_00000200,P_0003159,CKT_0072,20230731,Remove,33.8,377.38,ClearPath
WO_00000201,P_0013187,CKT_0134,20210212,Mow,57.7,860.89,GreenLine
WO_00000202,P_0005727,CKT_0045,20220813,Mow,10.0,127.23,GreenLine
WO_00000203,P_0012487,CKT_0143,20220401,Mow,81.3,976.92,ClearPath
WO_00000204,P_0002289,CKT_0022,20240503,Trim,101.4,1027.93,GreenLine
WO_00000205,P_0007637,CKT_0086,20241103,Mow,39.5,587.68,TreeCo
WO_00000206,P_0002505,CKT_0042,20200117,Remove,107.9,1229.01,ClearPath
WO_00000207,P_0011609,CKT_0131,20241031,Patrol,108.2,1781.38,TreeCo
WO_00000208,P_0004116,CKT_0018,20231023,Patrol,69.6,620.26,ClearPath
WO_00000209,P_0003280,CKT_0032,20200810,Patrol,110.8,2136.4,GreenLine
WO_00000210,P_0001803,CKT_0100,20240526,Remove,74.9,1080.57,SafeSpan
WO_00000211,P_0002501,CKT_0103,20230518,Mow,89.2,907.06,TreeCo
WO_00000212,P_0014592,CKT_0023,20211026,Trim,39.5,564.17,ClearPath
WO_00000213,P_0005982,CKT_0075,20190311,Remove,82.1,917.98,SafeSpan
WO_00000214,P_0007443,CKT_0110,20200522,Trim,70.2,744.14,SafeSpan
WO_00000215,P_0007984,CKT_0126,20200306,Mow,10.0,90.81,SafeSpan
WO_00000216,P_0008454,CKT_0100,20221213,Trim,59.9,504.66,ClearPath
WO_00000217,P_0000203,CKT_0018,20191027,Mow,75.8,1220.09,SafeSpan
WO_00000218,P_0011042,CKT_0138,20200113,Mow,105.1,937.37,ClearPath
WO_00000219,P_0001660,CKT_0012,20190701,Mow,79.6,1019.59,SafeSpan
WO_00000220,P_0003658,CKT_0001,20210517,Mow,109.2,1549.45,GreenLine
WO_00000221,P_0009437,CKT_0022,20190424,Patrol,102.1,1719.68,TreeCo
WO_00000222,P_0001160,CKT_0086,20230427,Remove,96.2,1582.52,SafeSpan
WO_00000223,P_0001362,CKT_0013,20190224,Patrol,62.1,1132.34,GreenLine
WO_00000224,P_0007253,CKT_0141,20230329,Patrol,85.3,1443.21,GreenLine
WO_00000225,P_0003767,CKT_0052,20220907,Mow,106.3,1960.25,SafeSpan
WO_00000226,P_0004321,CKT_0100,20210324,Trim,142.0,2242.63,GreenLine
WO_00000227,P_0005509,CKT_0019,20201212,Trim,110.3,1236.02,SafeSpan
WO_00000228,P_0005531,CKT_0056,20230915,Trim,73.9,1203.85,SafeSpan
WO_00000229,P_0005166,CKT_0056,20210405,Patrol,102.0,1365.64,ClearPath
WO_00000230,P_0000541,CKT_0035,20240411,Patrol,116.4,1852.86,ClearPath
WO_00000231,P_0000368,CKT_0053,20200513,Mow,38.8,351.03,GreenLine
WO_00000232,P_0003911,CKT_0074,20210311,Mow,109.1,1736.38,ClearPath
WO_00000233,P_0002816,CKT_0052,20210419,Mow,55.4,967.76,ClearPath
WO_00000234,P_0007630,CKT_0122,20191023,Mow,103.0,1789.76,GreenLine
WO_00000235,P_0014706,CKT_0066,20220804,Patrol,43.3,371.72,TreeCo
WO_00000236,P_0002737,CKT_0089,20210802,Mow,114.9,1763.49,ClearPath
WO_00000237,P_0012194,CKT_0135,20220217,Mow,91.4,1701.14,TreeCo
WO_00000238,P_0001098,CKT_0122,20190809,Patrol,52.2,581.01,GreenLine
WO_00000239,P_0012653,CKT_0094,20221218,Remove,50.5,552.23,TreeCo
WO_00000240,P_0000609,CKT_0123,20220401,Patrol,70.0,1228.0,TreeCo
WO_00000241,P_0001660,CKT_0012,20210303,Mow,86.4,1360.85,SafeSpan
WO_00000242,P_0004551,CKT_0013,20230618,Remove,58.8,991.12,TreeCo
WO_00000243,P_0005114,CKT_0039,20240615,Trim,78.9,1373.71,GreenLine
WO_00000244,P_0006202,CKT_0094,20210624,Trim,106.0,1057.52,TreeCo
WO_00000245,P_0001314,CKT_0047,20201024,Trim,71.9,666.75,TreeCo
WO_00000246,P_0009640,CKT_0054,20220820,Remove,99.3,1726.06,SafeSpan
WO_00000247,P_0002503,CKT_0047,20190809,Trim,75.2,655.97,TreeCo
WO_00000248,P_0003891,CKT_0031,20201015,Trim,76.5,645.28,SafeSpan
WO_00000249,P_0011617,CKT_0055,20230722,Trim,10.0,151.23,SafeSpan
WO_00000250,P_0003786,CKT_0091,20210413,Remove,77.6,747.7,TreeCo
WO_00000251,P_0012923,CKT_0019,20221108,Trim,94.9,1097.19,SafeSpan
WO_00000252,P_0011535,CKT_0022,20190918,Patrol,120.2,1491.65,GreenLine
WO_00000253,P_0011656,CKT_0118,20230925,Mow,54.8,696.29,TreeCo
WO_00000254,P_0000313,CKT_0061,20210424,Patrol,13.6,207.97,GreenLine
WO_00000255,P_0014841,CKT_0049,20200412,Patrol,39.9,558.34,ClearPath
WO_00000256,P_0011039,CKT_0018,20220324,Mow,112.3,1451.49,TreeCo
WO_00000257,P_0013507,CKT_0124,20200502,Remove,115.6,1728.76,ClearPath
WO_00000258,P_0006879,CKT_0129,20230918,Mow,60.7,489.51,SafeSpan
WO_00000259,P_0014607,CKT_0096,20210603,Remove,79.7,1236.86,GreenLine
WO_00000260,P_0002859,CKT_0142,20190716,Remove,81.5,685.27,TreeCo
WO_00000261,P_0011182,CKT_0079,20230118,Trim,90.8,1427.97,ClearPath
WO_00000262,P_0004107,CKT_0140,20221115,Mow,40.5,388.57,ClearPath
WO_00000263,P_0001007,CKT_0118,20210717,Trim,60.6,528.81,SafeSpan
WO_00000264,P_0011832,CKT_0023,20231114,Trim,67.4,668.09,GreenLine
WO_00000265,P_0000816,CKT_0042,20230124,Remove,71.9,1435.39,GreenLine
WO_00000266,P_0007750,CKT_0043,20191127,Patrol,77.8,1534.44,SafeSpan
WO_00000267,P_0013489,CKT_0080,20190809,Mow,39.8,425.51,SafeSpan
WO_00000268,P_0004725,CKT_0063,20191102,Mow,85.2,1193.91,SafeSpan
WO_00000269,P_0005496,CKT_0096,20200115,Mow,13.6,169.76,GreenLine
WO_00000270,P_0000400,CKT_0146,20230317,Mow,44.7,648.64,ClearPath
WO_00000271,P_0013040,CKT_0107,20240930,Remove,86.2,1470.63,ClearPath
WO_00000272,P_0005028,CKT_0078,20240216,Remove,35.0,600.55,TreeCo
WO_00000273,P_0004164,CKT_0122,20241224,Trim,89.1,1248.82,TreeCo
WO_00000274,P_0003543,CKT_0057,20210205,Trim,128.9,2348.5,GreenLine
WO_00000275,P_0006818,CKT_0029,20230303,Remove,69.2,1226.43,ClearPath
WO_00000276,P_0008837,CKT_0135,20210728,Trim,110.3,893.69,SafeSpan
WO_00000277,P_0014449,CKT_0136,20190501,Trim,111.7,2069.87,TreeCo
WO_00000278,P_0004614,CKT_0009,20200612,Patrol,88.2,1008.72,GreenLine
WO_00000279,P_0001056,CKT_0069,20220712,Patrol,93.3,1493.64,GreenLine
WO_00000280,P_0012718,CKT_0125,20200501,Remove,102.3,829.04,TreeCo
WO_00000281,P_0005838,CKT_0099,20190822,Trim,63.0,929.25,ClearPath
WO_00000282,P_0006992,CKT_0045,20210716,Patrol,115.9,1852.4,SafeSpan
WO_00000283,P_0001267,CKT_0132,20220417,Patrol,73.1,1203.13,ClearPath
WO_00000284,P_0005219,CKT_0013,20240715,Mow,80.1,1164.11,ClearPath
WO_00000285,P_0012528,CKT_0039,20200524,Patrol,77.7,1138.87,TreeCo
WO_00000286,P_0008681,CKT_0096,20200921,Remove,114.7,1362.22,GreenLine
WO_00000287,P_0000036,CKT_0083,20210527,Trim,45.6,862.24,TreeCo
WO_00000288,P_0011406,CKT_0082,20230922,Mow,122.1,2096.39,ClearPath
WO_00000289,P_0006267,CKT_0016,20191221,Patrol,106.2,1789.87,ClearPath
WO_00000290,P_0012336,CKT_0053,20221030,Remove,119.8,1120.06,SafeSpan
WO_00000291,P_0011057,CKT_0015,20210424,Trim,54.0,990.55,GreenLine
WO_00000292,P_0002435,CKT_0098,20221217,Remove,24.9,217.36,GreenLine
WO_00000293,P_0007646,CKT_0148,20210731,Remove,71.1,1041.0,ClearPath
WO_00000294,P_0010568,CKT_0110,20230329,Patrol,68.5,948.41,SafeSpan
WO_00000295,P_0003996,CKT_0044,20190713,Patrol,137.6,1387.64,SafeSpan
WO_00000296,P_0002649,CKT_0112,20220610,Patrol,100.2,820.29,SafeSpan
WO_00000297,P_0011920,CKT_0138,20210209,Trim,54.5,814.54,SafeSpan
WO_00000298,P_0005779,CKT_0068,20250119,Mow,78.1,1192.43,GreenLine
WO_00000299,P_0003572,CKT_0140,20190410,Patrol,51.4,486.82,GreenLine
WO_00000300,P_0014247,CKT_0032,20240908,Mow,151.7,2442.16,SafeSpan
WO_00000301,P_0001900,CKT_0054,20200810,Patrol,104.4,1460.51,ClearPath
WO_00000302,P_0010766,CKT_0137,20240809,Mow,56.6,662.96,ClearPath
WO_00000303,P_0011386,CKT_0123,20231002,Mow,100.1,1025.57,GreenLine
WO_00000304,P_0001678,CKT_0015,20230526,Patrol,73.0,780.42,ClearPath
WO_00000305,P_0002311,CKT_0039,20241025,Patrol,80.6,1561.95,SafeSpan
WO_00000306,P_0013903,CKT_0133,20220216,Trim,54.5,982.43,GreenLine
WO_00000307,P_0009671,CKT_0028,20230511,Trim,126.7,1511.39,SafeSpan
WO_00000308,P_0000032,CKT_0135,20200129,Mow,79.2,1181.73,ClearPath
WO_00000309,P_0012238,CKT_0091,20221127,Mow,103.1,1663.67,TreeCo
WO_00000310,P_0003181,CKT_0090,20210607,Mow,52.9,647.92,TreeCo
WO_00000311,P_0004704,CKT_0109,20200510,Trim,32.2,261.32,TreeCo
WO_00000312,P_0007388,CKT_0035,20220806,Trim,67.5,1190.24,SafeSpan
WO_00000313,P_0000977,CKT_0057,20200826,Remove,89.0,812.23,SafeSpan
WO_00000314,P_0002863,CKT_0104,20190516,Patrol,109.6,1567.8,TreeCo
WO_00000315,P_0009295,CKT_0130,20210629,Trim,95.4,848.55,ClearPath
WO_00000316,P_0000166,CKT_0148,20220325,Mow,50.8,770.96,TreeCo
WO_00000317,P_0010465,CKT_0078,20240521,Patrol,81.0,1460.89,GreenLine
WO_00000318,P_0013622,CKT_0123,20211210,Patrol,61.8,851.2,ClearPath
WO_00000319,P_0009754,CKT_0063,20240805,Patrol,47.4,546.93,TreeCo
WO_00000320,P_0011855,CKT_0014,20210516,Patrol,112.8,1657.76,SafeSpan
WO_00000321,P_0002593,CKT_0118,20220917,Trim,107.5,873.18,ClearPath
WO_00000322,P_0001912,CKT_0041,20220116,Mow,44.4,683.1,ClearPath
