PoleID,CircuitID,Latitude,Longitude,Material,Height,InstallYear,AccessType,RiskZoneID
P_0000036,CKT_0083,42.862833,-117.070944,Steel,52,2009,Backyard,3
P_0000037,CKT_0029,39.953144,-120.056699,Steel,46,1979,Roadside,2
P_0000038,CKT_0040,41.894986,-117.92425,Steel,37,2012,Off-road,2
P_0000039,CKT_0071,43.033855,-117.093793,Wood,43,2012,Backyard,3
P_0000040,CKT_0087,43.137402,-117.154281,Composite,67,2013,Off-road,5
P_0000041,CKT_0133,39.907667,-119.950074,Steel,36,2018,Roadside,3
P_0000042,CKT_0004,39.911065,-119.862172,Wood,53,1976,Backyard,1
P_0000043,CKT_0133,39.960567,-120.015185,Composite,64,1973,Backyard,1
P_0000044,CKT_0073,40.086593,-119.899853,Wood,65,1983,Off-road,2
P_0000045,CKT_0080,43.129302,-116.998551,Composite,61,1971,Roadside,5
P_0000046,CKT_0044,43.078478,-116.937848,Steel,60,1995,Backyard,3
P_0000047,CKT_0091,42.947809,-116.949312,Wood,33,1981,Backyard,1
P_0000048,CKT_0017,43.056314,-117.132409,Wood,55,1996,Roadside,5
P_0000049,CKT_0113,41.951583,-118.096625,Composite,73,1968,Roadside,2
P_0000050,CKT_0076,39.95254,-120.04696,Composite,49,1970,Roadside,1
P_0000051,CKT_0116,39.819141,-120.045075,Composite,56,2003,Off-road,5
P_0000052,CKT_0008,43.042913,-117.071671,Wood,63,1989,Backyard,4
P_0000053,CKT_0112,43.069047,-116.973438,Steel,67,1992,Backyard,5
P_0000054,CKT_0145,40.126274,-119.912321,Composite,33,2004,Off-road,1
P_0000055,CKT_0037,42.970521,-117.093669,Wood,70,1978,Backyard,1
P_0000056,CKT_0101,43.110393,-117.025628,Wood,45,1976,Off-road,1
P_0000057,CKT_0083,42.980152,-117.08819,Wood,30,1991,Backyard,5
P_0000058,CKT_0017,43.095594,-116.986135,Steel,48,1967,Roadside,3
P_0000059,CKT_0119,39.898536,-120.065844,Composite,48,2009,Backyard,1
P_0000060,CKT_0024,43.064504,-117.001241,Composite,44,1981,Off-road,5
P_0000061,CKT_0042,39.711585,-119.99158,Composite,42,1992,Roadside,5
P_0000062,CKT_0081,40.001324,-120.037557,Wood,71,1974,Backyard,2
P_0000063,CKT_0145,39.918893,-120.036125,Wood,33,1975,Backyard,5
P_0000064,CKT_0045,42.902024,-117.039621,Composite,66,1983,Backyard,1
P_0000065,CKT_0103,43.050458,-116.937346,Steel,74,1984,Off-road,4
P_0000066,CKT_0046,42.98118,-117.010359,Steel,62,1999,Backyard,4
P_0000067,CKT_0012,41.972856,-117.980719,Wood,68,1967,Backyard,3
P_0000068,CKT_0016,41.927013,-117.80256,Composite,46,1966,Roadside,2
P_0000069,CKT_0136,43.124341,-116.877197,Composite,66,2002,Roadside,3
P_0000070,CKT_0108,43.123994,-116.999928,Composite,32,2013,Roadside,4
P_0000071,CKT_0114,42.094507,-117.986325,Composite,71,1993,Backyard,2
P_0000072,CKT_0044,43.048059,-117.087299,Composite,57,2005,Backyard,1
P_0000073,CKT_0096,39.944774,-120.109714,Steel,52,1991,Backyard,3
P_0000074,CKT_0128,39.814238,-120.051535,Composite,36,2019,Roadside,3
P_0000075,CKT_0054,42.12571,-117.966307,Steel,74,1996,Backyard,4
P_0000076,CKT_0067,43.020697,-116.975034,Composite,32,1994,Roadside,3
P_0000077,CKT_0148,42.03974,-118.074746,Steel,50,1972,Backyard,5
P_0000078,CKT_0068,42.729521,-117.009451,Wood,72,2020,Off-road,4
P_0000079,CKT_0112,43.141238,-116.993646,Steel,33,1977,Off-road,3
P_0000080,CKT_0024,42.908968,-116.930483,Composite,61,2005,Backyard,1
P_0000081,CKT_0094,40.05368,-120.149118,Wood,47,2000,Roadside,3
P_0000082,CKT_0015,43.01184,-116.917984,Steel,74,1996,Roadside,1
P_0000083,CKT_0099,42.975409,-116.848386,Composite,68,2016,Roadside,2
P_0000084,CKT_0049,43.034671,-116.959419,Steel,65,1965,Off-road,4
P_0000085,CKT_0079,43.252472,-117.139657,Wood,44,2018,Roadside,4
P_0000086,CKT_0022,42.932569,-116.918643,Wood,71,2018,Roadside,4
P_0000087,CKT_0031,39.877125,-119.996985,Composite,48,1997,Off-road,3
P_0000088,CKT_0041,42.956781,-117.079247,Steel,60,1995,Roadside,4
P_0000089,CKT_0020,41.92445,-118.010199,Composite,39,1989,Roadside,5
P_0000090,CKT_0046,42.97661,-117.019609,Composite,38,2020,Roadside,3
P_0000091,CKT_0047,43.081575,-116.939753,Steel,51,2015,Off-road,3
P_0000092,CKT_0041,43.252857,-117.108659,Wood,48,2011,Backyard,5
P_0000093,CKT_0079,42.887025,-116.996256,Composite,72,1996,Roadside,4
P_0000094,CKT_0061,39.761489,-120.056526,Composite,60,1987,Backyard,5
P_0000095,CKT_0028,43.110677,-116.958522,Composite,54,1994,Backyard,2
P_0000096,CKT_0110,42.968627,-117.025965,Composite,45,2001,Backyard,2
P_0000097,CKT_0132,41.928067,-117.994772,Steel,32,1985,Off-road,4
P_0000098,CKT_0100,39.999576,-119.924228,Composite,54,1989,Off-road,2
P_0000099,CKT_0067,42.879114,-117.056594,Steel,32,1973,Off-road,5
P_0000100,CKT_0028,43.052698,-116.999244,Steel,36,2020,Backyard,1
P_0000101,CKT_0026,40.011219,-120.004243,Composite,59,1965,Off-road,2
P_0000102,CKT_0137,43.064431,-116.985352,Steel,71,1974,Roadside,4
P_0000103,CKT_0039,40.12562,-119.881229,Steel,51,2004,Off-road,4
P_0000104,CKT_0002,43.055958,-117.148613,Composite,35,2019,Backyard,5
P_0000105,CKT_0108,42.990128,-116.917358,Steel,50,2005,Off-road,4
P_0000106,CKT_0081,39.843046,-120.054441,Composite,32,2004,Roadside,2
P_0000107,CKT_0083,43.058586,-116.929466,Composite,73,1983,Roadside,1
P_0000108,CKT_0072,39.891074,-120.15452,Steel,36,2013,Off-road,1
P_0000109,CKT_0041,42.934105,-117.116585,Steel,40,2009,Backyard,1
P_0000110,CKT_0051,40.08114,-120.089009,Wood,50,2015,Roadside,3
P_0000111,CKT_0067,42.787317,-116.996838,Steel,53,1992,Roadside,2
P_0000112,CKT_0041,43.057122,-116.860936,Composite,56,2001,Off-road,2
P_0000113,CKT_0076,39.915293,-119.997827,Wood,41,1970,Off-road,4
P_0000114,CKT_0040,41.842802,-118.043295,Composite,73,1980,Backyard,5
P_0000115,CKT_0103,42.965325,-116.856297,Wood,44,1994,Off-road,3
P_0000116,CKT_0092,42.828107,-116.895305,Steel,46,2007,Roadside,4
P_0000117,CKT_0063,40.003291,-119.973216,Steel,73,1999,Roadside,1
P_0000118,CKT_0119,39.992313,-119.868653,Steel,52,2002,Backyard,4
P_0000119,CKT_0130,42.107729,-118.001786,Composite,46,1994,Backyard,2
P_0000120,CKT_0035,41.985178,-117.949474,Steel,60,1971,Roadside,4
P_0000121,CKT_0045,42.933438,-117.025106,Composite,52,2001,Backyard,3
P_0000122,CKT_0078,42.95775,-116.897228,Wood,72,1990,Backyard,1
P_0000123,CKT_0094,39.943692,-120.094656,Composite,73,2014,Off-road,1
P_0000124,CKT_0110,43.046215,-117.010919,Composite,61,2018,Backyard,2
P_0000125,CKT_0149,42.081073,-117.82466,Composite,52,1979,Off-road,2
P_0000126,CKT_0047,43.114607,-116.775938,Composite,46,2008,Off-road,2
P_0000127,CKT_0094,39.855704,-120.082311,Composite,36,2022,Off-road,1
P_0000128,CKT_0098,42.702669,-117.126564,Steel,58,1967,Off-road,3
P_0000129,CKT_0092,42.747255,-117.005152,Composite,38,1970,Backyard,3
P_0000130,CKT_0027,40.091842,-120.136755,Composite,56,1976,Roadside,2
P_0000131,CKT_0050,40.006014,-119.903156,Composite,53,1998,Off-road,3
P_0000132,CKT_0015,42.97853,-116.853231,Wood,46,2017,Backyard,3
P_0000133,CKT_0124,40.023788,-120.025461,Composite,51,2016,Roadside,4
P_0000134,CKT_0059,40.025022,-120.125245,Wood,39,2013,Roadside,4
P_0000135,CKT_0099,42.884212,-116.987419,Composite,53,1970,Backyard,1
P_0000136,CKT_0053,40.124512,-119.916093,Steel,64,1972,Backyard,3
P_0000137,CKT_0055,40.063431,-119.846931,Composite,73,1981,Off-road,4
P_0000138,CKT_0105,43.133164,-117.0642,Composite,53,1971,Off-road,2
P_0000139,CKT_0037,42.966876,-116.972076,Steel,31,2004,Off-road,3
P_0000140,CKT_0083,43.028876,-116.978984,Composite,44,2006,Roadside,4
P_0000141,CKT_0120,42.067343,-117.983821,Composite,49,2006,Backyard,1
P_0000142,CKT_0031,39.956904,-120.249335,Wood,32,1967,Backyard,4
P_0000143,CKT_0100,40.028716,-120.035664,Wood,36,1980,Off-road,2
P_0000144,CKT_0050,39.911702,-119.830553,Steel,59,1988,Off-road,5
P_0000145,CKT_0077,41.985241,-117.95619,Steel,67,2012,Off-road,2
P_0000146,CKT_0072,40.252103,-119.863571,Steel,71,1971,Backyard,5
P_0000147,CKT_0069,39.957176,-120.070566,Steel,47,1967,Off-road,3
P_0000148,CKT_0087,42.986519,-117.006594,Wood,58,1993,Roadside,3
P_0000149,CKT_0103,43.094448,-116.958789,Wood,73,1988,Off-road,3
P_0000150,CKT_0034,40.049638,-120.107947,Wood,55,1982,Roadside,1
P_0000151,CKT_0078,43.093735,-117.152969,Steel,35,2007,Roadside,5
P_0000152,CKT_0150,42.133244,-117.884174,Wood,33,2015,Backyard,2
P_0000153,CKT_0120,42.035833,-118.212865,Wood,66,1978,Roadside,5
P_0000154,CKT_0095,40.084585,-119.953035,Wood,67,1978,Roadside,3
P_0000155,CKT_0021,43.050405,-116.923252,Wood,68,1965,Backyard,2
P_0000156,CKT_0075,41.901806,-117.966084,Wood,64,1981,Roadside,1
P_0000157,CKT_0019,39.915386,-120.097923,Composite,31,1973,Roadside,3
P_0000158,CKT_0009,42.896909,-116.962215,Wood,67,1985,Roadside,2
P_0000159,CKT_0082,40.037272,-120.130427,Steel,33,1973,Off-road,4
P_0000160,CKT_0041,42.935268,-117.061751,Composite,37,2012,Roadside,4
P_0000161,CKT_0122,43.118847,-117.080635,Steel,53,1997,Off-road,1
P_0000162,CKT_0051,40.045039,-119.931682,Steel,62,1979,Off-road,1
P_0000163,CKT_0134,42.099595,-117.926377,Composite,72,1998,Backyard,4
P_0000164,CKT_0002,42.981786,-116.968944,Composite,31,1968,Backyard,4
P_0000165,CKT_0075,41.983012,-117.963828,Steel,73,1971,Backyard,4
P_0000166,CKT_0148,41.940704,-118.028667,Wood,35,1985,Off-road,2
P_0000167,CKT_0089,40.17633,-120.025732,Wood,38,1982,Off-road,5
P_0000168,CKT_0050,39.867537,-120.024433,Composite,75,1985,Backyard,5
P_0000169,CKT_0112,42.900291,-116.964154,Composite,48,1994,Off-road,5
P_0000170,CKT_0096,40.039057,-120.054821,Steel,36,2015,Off-road,1
P_0000171,CKT_0145,40.105302,-119.889299,Composite,71,2021,Off-road,2
P_0000172,CKT_0102,42.93055,-116.956511,Steel,58,2021,Roadside,4
P_0000173,CKT_0057,42.020082,-118.095808,Steel,59,1990,Backyard,1
P_0000174,CKT_0084,43.151871,-117.039647,Steel,57,1985,Off-road,3
P_0000175,CKT_0073,39.956701,-120.145187,Steel,39,2008,Backyard,1
P_0000176,CKT_0130,41.854051,-117.923256,Wood,35,1970,Backyard,1
P_0000177,CKT_0068,42.944912,-117.102832,Composite,53,2016,Roadside,5
P_0000178,CKT_0043,39.903043,-120.031793,Wood,67,2000,Off-road,3
P_0000179,CKT_0062,43.00071,-116.920506,Composite,37,1991,Backyard,4
P_0000180,CKT_0006,43.073962,-117.009483,Composite,33,1983,Off-road,3
P_0000181,CKT_0090,43.110308,-117.015576,Steel,36,2001,Off-road,2
P_0000182,CKT_0085,40.050649,-120.146969,Wood,72,1995,Roadside,1
P_0000183,CKT_0103,42.922977,-116.945648,Steel,65,1988,Roadside,3
P_0000184,CKT_0030,41.814951,-118.088613,Composite,44,2016,Backyard,5
P_0000185,CKT_0027,39.992228,-119.771911,Composite,69,2008,Off-road,5
P_0000186,CKT_0004,39.971854,-120.244959,Wood,68,2007,Off-road,3
P_0000187,CKT_0055,40.081272,-120.029927,Wood,41,1982,Off-road,3
P_0000188,CKT_0021,43.029394,-116.847513,Steel,52,1965,Roadside,2
P_0000189,CKT_0146,41.830428,-117.826313,Composite,72,1990,Roadside,2
P_0000190,CKT_0148,42.15206,-117.873824,Composite,70,1966,Roadside,5
P_0000191,CKT_0076,39.950069,-120.107961,Wood,54,1991,Backyard,3
P_0000192,CKT_0011,40.212916,-119.985369,Wood,53,1984,Off-road,3
P_0000193,CKT_0025,43.077566,-116.857664,Composite,68,1970,Roadside,2
P_0000194,CKT_0012,42.015676,-117.915133,Wood,69,1968,Off-road,1
P_0000195,CKT_0121,41.984501,-118.014504,Steel,58,2007,Backyard,4
P_0000196,CKT_0099,42.971464,-116.977481,Composite,58,1991,Backyard,2
P_0000197,CKT_0062,43.021657,-116.988353,Composite,37,1987,Backyard,1
P_0000198,CKT_0102,42.98079,-117.014862,Steel,73,2008,Off-road,4
P_0000199,CKT_0079,43.050116,-116.904739,Composite,72,1984,Roadside,2
P_0000200,CKT_0010,40.091311,-120.097673,Steel,68,1968,Roadside,2
P_0000201,CKT_0058,41.935167,-118.059059,Steel,43,2014,Roadside,3
P_0000202,CKT_0120,41.842283,-117.933265,Steel,50,1972,Roadside,4
P_0000203,CKT_0018,43.078143,-117.042519,Composite,57,1976,Roadside,4
P_0000204,CKT_0107,41.874321,-118.005595,Composite,75,1979,Off-road,5
P_0000205,CKT_0081,40.0252,-119.944248,Composite,52,1969,Backyard,1
P_0000206,CKT_0062,42.84359,-116.977518,Steel,31,1994,Roadside,3
P_0000207,CKT_0148,41.901801,-118.028556,Composite,57,2001,Backyard,4
P_0000208,CKT_0132,42.120826,-118.109678,Steel,37,1990,Roadside,3
P_0000209,CKT_0090,42.943684,-116.76401,Wood,69,1994,Off-road,3
P_0000210,CKT_0036,39.926532,-120.029592,Wood,57,2019,Roadside,2
P_0000211,CKT_0140,42.975006,-116.960093,Steel,67,1990,Off-road,1
P_0000212,CKT_0130,41.929281,-117.992532,Steel,49,2012,Backyard,2
P_0000213,CKT_0109,39.948558,-119.908951,Steel,40,1969,Off-road,1
P_0000214,CKT_0032,39.920853,-120.118189,Composite,62,1977,Backyard,3
P_0000215,CKT_0102,43.014608,-117.131746,Composite,71,2017,Roadside,2
P_0000216,CKT_0082,39.798851,-119.907081,Wood,39,1981,Roadside,2
P_0000217,CKT_0150,42.212792,-118.074487,Composite,39,2013,Off-road,1
P_0000218,CKT_0058,42.121861,-118.035019,Wood,70,1996,Backyard,5
P_0000219,CKT_0097,42.032801,-117.966047,Composite,58,2008,Off-road,5
P_0000220,CKT_0086,40.145898,-119.973058,Steel,70,1985,Roadside,4
P_0000221,CKT_0111,39.925976,-120.049981,Wood,60,1993,Off-road,3
P_0000222,CKT_0033,39.942899,-120.044997,Steel,67,1968,Backyard,5
P_0000223,CKT_0046,42.881856,-117.006602,Wood,49,1994,Backyard,1
P_0000224,CKT_0132,42.053042,-118.039834,Wood,53,2018,Backyard,1
P_0000225,CKT_0032,40.008138,-119.939161,Composite,35,2004,Off-road,5
P_0000226,CKT_0047,43.273968,-116.787601,Steel,59,2002,Off-road,1
P_0000227,CKT_0129,41.860079,-117.983215,Steel,66,2006,Roadside,3
P_0000228,CKT_0085,39.980977,-120.176005,Composite,60,1997,Roadside,1
P_0000229,CKT_0046,42.962009,-116.997323,Steel,36,2016,Backyard,1
P_0000230,CKT_0122,42.951379,-117.031072,Composite,71,1976,Roadside,2
P_0000231,CKT_0149,42.121303,-117.989931,Composite,58,1993,Off-road,5
P_0000232,CKT_0123,41.89754,-118.089277,Composite,40,1988,Backyard,3
P_0000233,CKT_0010,40.171353,-120.161992,Steel,56,2014,Backyard,5
P_0000234,CKT_0088,39.927922,-120.033872,Wood,70,2006,Backyard,1
P_0000235,CKT_0061,39.9662,-120.125322,Steel,36,2000,Off-road,4
P_0000236,CKT_0125,40.00029,-119.992289,Steel,46,2011,Off-road,5
P_0000237,CKT_0134,42.123589,-118.141025,Wood,51,1970,Off-road,2
P_0000238,CKT_0070,42.865682,-117.009083,Steel,49,2006,Off-road,4
P_0000239,CKT_0056,42.03002,-117.967907,Wood,68,2010,Roadside,3
P_0000240,CKT_0071,43.015359,-117.057271,Composite,54,2006,Backyard,2
P_0000241,CKT_0062,42.953994,-116.9265,Composite,74,2018,Off-road,5
P_0000242,CKT_0090,43.127915,-117.027005,Wood,71,2007,Backyard,5
P_0000243,CKT_0124,40.099981,-120.025439,Steel,31,1988,Backyard,2
P_0000244,CKT_0043,40.112584,-120.075097,Wood,51,2014,Backyard,2
P_0000245,CKT_0019,39.920659,-120.023366,Wood,38,1974,Roadside,3
P_0000246,CKT_0105,43.035295,-117.03211,Wood,62,2014,Off-road,5
P_0000247,CKT_0021,43.060349,-117.13443,Wood,72,1986,Off-road,2
P_0000248,CKT_0096,40.039212,-119.911892,Composite,54,1974,Roadside,2
P_0000249,CKT_0015,42.948186,-116.965913,Composite,69,2016,Roadside,4
P_0000250,CKT_0113,42.156582,-117.937912,Wood,56,1988,Off-road,2
P_0000251,CKT_0121,41.874224,-117.890369,Steel,69,1983,Off-road,4
P_0000252,CKT_0057,41.882229,-117.883874,Wood,64,1980,Backyard,4
P_0000253,CKT_0148,41.946522,-117.940322,Wood,53,2008,Off-road,4
P_0000254,CKT_0084,42.933322,-117.143509,Steel,48,2014,Backyard,5
P_0000255,CKT_0102,43.025871,-117.030065,Composite,56,1975,Roadside,5
P_0000256,CKT_0086,39.745991,-120.035265,Wood,46,1968,Off-road,4
P_0000257,CKT_0120,41.997107,-118.047287,Steel,65,1971,Off-road,5
P_0000258,CKT_0015,43.253756,-116.940097,Wood,48,1970,Roadside,3
P_0000259,CKT_0006,42.958879,-117.132212,Steel,62,1974,Backyard,1
P_0000260,CKT_0140,42.98469,-117.110289,Wood,58,2021,Backyard,1
P_0000261,CKT_0001,39.944029,-120.021698,Steel,33,1990,Off-road,3
P_0000262,CKT_0003,40.193421,-120.053205,Wood,54,1970,Backyard,2
P_0000263,CKT_0010,39.808419,-119.834103,Wood,50,1971,Off-road,3
P_0000264,CKT_0086,39.981239,-120.101689,Wood,38,1967,Backyard,4
P_0000265,CKT_0010,40.009025,-119.862054,Composite,38,2013,Off-road,4
P_0000266,CKT_0099,43.021867,-116.91316,Steel,69,1965,Roadside,1
P_0000267,CKT_0134,41.980547,-117.862641,Steel,43,2018,Roadside,5
P_0000268,CKT_0013,39.962275,-119.960319,Composite,68,1998,Backyard,1
P_0000269,CKT_0049,42.9367,-116.90564,Steel,45,1984,Roadside,1
P_0000270,CKT_0024,43.219103,-116.853477,Wood,56,2005,Off-road,4
P_0000271,CKT_0130,42.030016,-117.896682,Wood,37,2018,Backyard,5
P_0000272,CKT_0114,41.941874,-117.957645,Composite,31,2005,Off-road,5
P_0000273,CKT_0114,42.025052,-117.950359,Wood,75,1974,Backyard,4
P_0000274,CKT_0043,40.037131,-120.212789,Wood,69,1987,Roadside,5
P_0000275,CKT_0012,42.02167,-117.942528,Steel,41,2007,Off-road,1
P_0000276,CKT_0136,42.915919,-117.007083,Composite,53,1969,Off-road,5
P_0000277,CKT_0135,41.959752,-117.95549,Composite,62,2000,Roadside,4
P_0000278,CKT_0148,41.882504,-117.928314,Steel,32,2005,Backyard,3
P_0000279,CKT_0043,39.998065,-120.13346,Steel,31,1987,Roadside,3
P_0000280,CKT_0089,39.989306,-119.871743,Wood,72,2005,Roadside,5
P_0000281,CKT_0068,43.02592,-116.99753,Composite,51,1973,Roadside,3
P_0000282,CKT_0071,43.113553,-116.987079,Composite,51,2017,Off-road,2
P_0000283,CKT_0012,42.155094,-117.925786,Composite,59,2009,Backyard,2
P_0000284,CKT_0052,42.911363,-117.099446,Wood,34,2010,Backyard,1
P_0000285,CKT_0099,43.057249,-117.026197,Steel,42,1967,Roadside,1
P_0000286,CKT_0054,41.887331,-118.093547,Steel,49,1997,Backyard,5
P_0000287,CKT_0136,42.954216,-117.062826,Steel,46,1967,Off-road,2
P_0000288,CKT_0125,39.918087,-120.128383,Steel,52,2020,Roadside,3
P_0000289,CKT_0031,39.800116,-120.018822,Steel,37,2016,Backyard,4
P_0000290,CKT_0031,40.00577,-120.09592,Steel,58,2022,Backyard,3
P_0000291,CKT_0034,40.009875,-119.925888,Wood,61,2009,Backyard,3
P_0000292,CKT_0061,40.012112,-119.956757,Composite,47,2016,Roadside,4
P_0000293,CKT_0063,40.078736,-120.132931,Wood,57,2003,Roadside,5
P_0000294,CKT_0122,43.066958,-117.048514,Steel,50,1971,Roadside,3
P_0000295,CKT_0042,39.956772,-119.994485,Composite,48,1984,Backyard,5
P_0000296,CKT_0147,41.935922,-117.957406,Composite,57,1975,Off-road,4
P_0000297,CKT_0085,40.02665,-119.913512,Steel,58,1967,Off-road,3
P_0000298,CKT_0034,39.927984,-119.947454,Composite,57,1982,Off-road,1
P_0000299,CKT_0145,40.019106,-120.014865,Wood,72,2005,Backyard,3
P_0000300,CKT_0053,40.086738,-119.856818,Composite,73,1975,Roadside,2
P_0000301,CKT_0073,40.187074,-119.802806,Composite,73,2015,Backyard,1
P_0000302,CKT_0118,42.943333,-117.070919,Wood,34,1980,Off-road,3
P_0000303,CKT_0079,42.856914,-116.931694,Steel,54,2001,Roadside,5
P_0000304,CKT_0146,42.002807,-117.900092,Wood,73,1993,Backyard,3
P_0000305,CKT_0020,41.806709,-117.963656,Steel,34,2001,Roadside,5
P_0000306,CKT_0134,42.057752,-117.794997,Steel,55,1985,Off-road,3
P_0000307,CKT_0073,39.981359,-120.014434,Wood,37,1966,Off-road,2
P_0000308,CKT_0128,40.036119,-120.062022,Steel,63,1989,Off-road,1
P_0000309,CKT_0047,43.048389,-117.043868,Steel,46,2010,Backyard,2
P_0000310,CKT_0117,42.938186,-116.97409,Composite,48,2009,Backyard,2
P_0000311,CKT_0014,40.10836,-120.061845,Wood,38,2019,Roadside,4
P_0000312,CKT_0063,40.057278,-120.197102,Wood,75,1993,Roadside,3
P_0000313,CKT_0061,39.974306,-120.186297,Composite,52,2010,Roadside,5
P_0000314,CKT_0102,42.850082,-117.080218,Composite,48,2022,Backyard,2
P_0000315,CKT_0083,42.903971,-117.01099,Composite,75,2009,Off-road,2
P_0000316,CKT_0104,41.953701,-117.971546,Steel,62,1979,Roadside,2
P_0000317,CKT_0137,42.873027,-117.091549,Wood,45,2015,Backyard,1
P_0000318,CKT_0076,40.061929,-119.953273,Steel,65,2001,Backyard,4
P_0000319,CKT_0142,42.8902,-116.923737,Composite,38,2004,Roadside,1
P_0000320,CKT_0038,42.82244,-117.011711,Steel,55,2010,Off-road,4
P_0000321,CKT_0119,39.996421,-119.905359,Composite,56,2014,Backyard,5
P_0000322,CKT_0015,42.974471,-117.041496,Wood,38,1985,Off-road,1
P_0000323,CKT_0016,41.9568,-117.870003,Steel,59,2008,Off-road,3
P_0000324,CKT_0092,43.025036,-116.778307,Wood,65,2005,Off-road,2
P_0000325,CKT_0057,41.987779,-117.980503,Wood,57,1997,Roadside,1
P_0000326,CKT_0096,39.982356,-119.945078,Composite,39,1984,Roadside,2
P_0000327,CKT_0020,41.952237,-117.980086,Steel,75,1979,Backyard,5
P_0000328,CKT_0073,40.088494,-119.762374,Steel,35,1981,Roadside,5
P_0000329,CKT_0110,42.906642,-116.99719,Steel,38,2005,Backyard,5
P_0000330,CKT_0061,40.038547,-119.966451,Composite,35,1997,Off-road,2
P_0000331,CKT_0001,40.023919,-119.931354,Composite,67,1974,Roadside,5
P_0000332,CKT_0110,43.251895,-116.987326,Composite,68,1986,Off-road,1
P_0000333,CKT_0027,40.126606,-120.005034,Wood,35,1967,Off-road,5
P_0000334,CKT_0149,41.875192,-118.030619,Steel,71,1978,Off-road,4
P_0000335,CKT_0137,43.148993,-116.951506,Composite,70,1966,Backyard,5
P_0000336,CKT_0092,43.005674,-117.150958,Steel,71,1984,Backyard,2
P_0000337,CKT_0119,39.973604,-119.915269,Composite,55,1984,Backyard,1
P_0000338,CKT_0122,43.190726,-117.182766,Composite,33,1975,Backyard,4
P_0000339,CKT_0136,43.094469,-116.978276,Steel,59,1978,Backyard,5
P_0000340,CKT_0075,41.871085,-117.920109,Wood,50,2020,Off-road,3
P_0000341,CKT_0130,41.93667,-118.006166,Composite,52,1990,Roadside,3
P_0000342,CKT_0095,39.899553,-119.990517,Composite,65,1971,Backyard,2
P_0000343,CKT_0097,41.962028,-118.128008,Steel,37,1982,Backyard,2
P_0000344,CKT_0093,42.949068,-117.127542,Wood,36,1968,Backyard,4
P_0000345,CKT_0058,41.998578,-117.789954,Composite,56,1980,Roadside,3
P_0000346,CKT_0139,43.165074,-117.054822,Composite,50,1977,Roadside,4
P_0000347,CKT_0060,39.985468,-119.986969,Composite,59,1996,Backyard,4
